ticker,cik,company_name,fiscal_year,period_start_date,period_end_date,filed_date,revenue,net_income,operating_cash_flow,revenue_growth_pct,net_margin_pct,has_revenue,has_net_income,has_operating_cash_flow,quality_status,quality_issue_count,quality_notes,revenue_concept,net_income_concept,operating_cash_flow_concept
AAPL,0000320193,Apple Inc.,2021,2020-09-27,2021-09-25,2023-11-03,365817000000.0,94680000000.0,104038000000.0,,25.88179335569424,True,True,True,PASS,0,,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities
AAPL,0000320193,Apple Inc.,2022,2021-09-26,2022-09-24,2024-11-01,394328000000.0,99803000000.0,122151000000.0,7.79378760418461,25.309640705199733,True,True,True,PASS,0,,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities
AAPL,0000320193,Apple Inc.,2023,2022-09-25,2023-09-30,2025-10-31,383285000000.0,96995000000.0,110543000000.0,-2.800460530319937,25.30623426432028,True,True,True,PASS,0,,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities
AAPL,0000320193,Apple Inc.,2024,2023-10-01,2024-09-28,2025-10-31,391035000000.0,93736000000.0,118254000000.0,2.021994077514111,23.971255769943866,True,True,True,PASS,0,,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities
AAPL,0000320193,Apple Inc.,2025,2024-09-29,2025-09-27,2025-10-31,416161000000.0,112010000000.0,111482000000.0,6.425511782832749,26.91506412181824,True,True,True,PASS,0,,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities
MSFT,0000789019,MICROSOFT CORPORATION,2022,2021-07-01,2022-06-30,2024-07-30,198270000000.0,72738000000.0,89035000000.0,,36.68633681343622,True,True,True,PASS,0,,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities
MSFT,0000789019,MICROSOFT CORPORATION,2023,2022-07-01,2023-06-30,2025-07-30,211915000000.0,72361000000.0,87582000000.0,6.8820295556564215,34.14623787839464,True,True,True,PASS,0,,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities
MSFT,0000789019,MICROSOFT CORPORATION,2024,2023-07-01,2024-06-30,2026-07-29,245122000000.0,88136000000.0,118548000000.0,15.66996201307127,35.955972944084984,True,True,True,PASS,0,,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities
MSFT,0000789019,MICROSOFT CORPORATION,2025,2024-07-01,2025-06-30,2026-07-29,281724000000.0,101832000000.0,136162000000.0,14.932156232406712,36.146015248967075,True,True,True,PASS,0,,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities
MSFT,0000789019,MICROSOFT CORPORATION,2026,2025-07-01,2026-06-30,2026-07-29,331839000000.0,133749000000.0,182935000000.0,17.788686799846666,40.30538905915218,True,True,True,PASS,0,,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities
